area_sqft,num_bedrooms,num_bathrooms,age_years,distance_to_city_km,school_rating,parking_spaces,owner_lucky_number,wall_paint_color_code,survey_respondent_id,random_noise_feature,price_lakhs
1698.7,2,2,21.9,2.46,5.44,2,19,5,496.0,-2.627,102.72
1444.7,2,2,32.69,0.5,7.32,0,84,14,422.9,-0.521,82.79
1759.1,3,1,18.09,0.69,9.94,2,99,18,327.9,1.143,136.74
2109.2,3,3,25.74,27.5,2.18,3,66,16,453.1,-1.733,104.38
1406.3,5,3,21.06,2.8,3.47,3,30,6,524.1,-1.18,88.66
1406.3,5,4,29.26,11.73,4.55,1,53,14,508.0,0.264,75.17
2131.7,1,1,3.27,7.84,4.8,1,34,8,758.5,2.57,121.17
1807.0,1,1,2.41,3.85,4.7,0,22,7,574.9,-1.358,105.67
1312.2,5,2,9.88,1.84,9.17,1,67,8,479.8,-1.397,115.38
1717.0,5,1,6.38,1.04,7.43,3,6,13,394.0,0.339,129.27
1314.6,4,3,34.87,7.64,6.47,0,79,6,540.0,1.205,80.38
1313.7,3,1,8.77,11.92,3.78,0,27,18,363.9,-0.624,88.28
1596.8,1,2,39.03,8.26,8.41,1,10,2,527.0,-1.621,72.86
734.7,3,4,13.48,6.05,9.6,3,73,8,573.1,0.434,89.78
810.0,3,2,7.28,0.5,8.39,0,97,11,467.5,0.615,79.02
1275.1,5,2,31.59,27.66,1.01,3,96,1,405.5,1.779,65.81
1094.9,4,4,26.35,12.82,6.73,3,48,6,172.2,0.657,89.27
1625.7,2,2,19.93,2.77,1.46,3,70,16,671.6,0.828,91.71
1136.8,4,2,22.21,31.28,3.32,1,59,12,560.5,-0.262,37.96
935.1,4,1,28.77,7.37,1.54,2,59,11,564.1,2.442,43.26
2086.3,3,1,9.14,6.99,6.43,2,2,10,265.8,-0.398,136.46
1409.7,4,4,39.85,11.03,7.18,0,29,3,707.0,-0.612,78.33
1527.0,1,1,38.99,13.36,2.03,3,68,13,430.2,1.81,64.82
930.1,3,1,26.01,8.55,4.45,1,65,3,456.7,-1.474,73.51
1282.2,1,2,7.98,1.1,5.11,3,83,15,339.6,-1.847,88.31
1544.4,2,3,27.21,3.3,4.32,3,26,16,232.0,0.12,81.96
1039.6,3,1,2.89,21.06,2.09,1,89,13,673.6,-0.002,61.17
1650.3,2,3,1.23,2.04,4.77,2,10,17,693.0,-0.228,127.63
1259.7,3,1,10.31,3.72,7.76,3,53,3,475.2,0.994,92.12
1383.3,5,1,18.5,4.53,1.64,3,79,11,398.1,-0.908,89.14
1259.3,4,4,34.73,4.63,1.72,2,59,19,443.4,0.064,83.06
2240.9,5,4,29.09,7.59,4.19,1,22,11,447.6,-0.36,112.44
1494.6,2,4,29.71,22.93,9.48,0,51,16,320.0,-0.891,78.64
1076.9,4,3,17.02,2.2,7.02,2,48,3,456.2,-0.062,87.54
1829.0,3,2,13.84,1.04,7.11,0,21,6,523.0,0.853,122.66
1011.7,4,1,14.84,1.76,4.26,0,22,14,652.7,2.121,82.94
1583.5,1,1,39.51,17.44,6.34,2,98,18,502.1,0.579,66.2
716.1,4,1,1.6,8.3,1.09,3,30,17,263.5,-2.511,55.55
968.7,1,3,34.68,2.69,6.72,0,25,4,553.0,-0.038,55.19
1578.7,4,4,23.15,13.54,9.22,0,28,15,461.6,0.05,113.29
1795.4,1,2,17.54,15.81,6.51,1,65,11,705.6,0.936,97.08
1568.5,2,3,29.01,14.99,8.86,3,45,3,714.4,0.185,96.66
1453.7,5,4,19.47,20.1,7.52,0,68,3,719.7,1.253,92.93
1379.6,3,3,34.94,2.33,2.09,1,7,16,415.8,0.392,80.56
908.6,4,2,36.03,11.25,9.12,3,49,5,798.5,1.559,60.52
1212.1,5,4,16.87,4.94,1.6,2,9,10,552.6,-0.439,80.67
1315.7,3,3,11.07,14.76,5.81,2,36,19,744.0,0.144,93.44
1922.8,3,2,23.69,10.43,2.28,1,83,4,424.6,0.827,106.02
1637.4,1,1,36.49,11.98,1.11,2,1,19,455.2,-0.572,54.86
794.8,2,2,8.43,8.54,4.8,0,10,11,541.1,-0.79,57.62
1629.6,2,1,24.92,1.56,3.66,3,36,2,522.8,-0.629,92.21
1346.0,5,3,25.26,6.3,5.37,0,73,10,688.2,-0.749,102.12
1229.2,2,4,29.32,33.42,6.19,0,46,11,465.2,0.523,49.88
1744.7,4,4,5.26,22.17,1.39,2,32,16,674.7,-1.835,86.81
1912.4,2,3,28.63,0.5,2.11,0,32,19,609.8,-1.556,99.83
1872.5,5,4,36.36,1.44,6.03,2,6,11,468.0,1.863,113.89
1164.3,2,4,7.19,1.13,4.09,3,48,14,598.2,-0.725,85.24
1376.3,4,1,9.5,10.36,7.56,3,38,2,429.0,0.2,100.11
1632.5,1,3,38.86,13.62,6.87,0,17,5,852.5,-1.489,71.75
1890.2,5,2,7.24,1.92,8.61,1,74,5,100.4,0.094,137.39
1308.3,1,1,34.18,5.64,7.23,2,27,19,600.9,-0.719,68.25
1425.7,1,3,19.69,14.7,4.87,2,54,12,235.3,-1.563,88.48
1057.5,1,1,9.89,10.56,7.06,0,50,18,466.2,1.337,68.09
1021.5,3,2,34.83,6.25,3.48,2,35,4,487.2,1.183,56.92
1825.0,3,2,17.81,7.14,3.76,2,85,17,726.1,-0.107,105.54
2042.5,1,3,20.59,5.68,8.1,1,25,10,396.2,0.999,116.3
1471.2,5,2,14.37,2.83,5.02,1,28,6,696.2,1.903,106.38
1901.4,4,1,23.72,6.66,8.19,0,15,14,323.2,0.754,115.15
1644.7,4,2,6.54,9.34,8.4,1,4,11,702.0,0.48,118.54
1242.0,2,1,15.64,16.53,8.72,0,93,11,428.8,0.199,68.61
1644.6,5,1,38.78,8.09,9.25,3,73,18,511.0,0.649,97.86
2115.2,3,2,10.33,11.45,4.88,0,27,18,449.5,-0.364,126.4
1485.7,1,3,26.27,1.4,3.87,3,26,11,692.4,-0.277,86.24
2125.9,2,4,13.01,4.95,6.24,0,19,12,663.2,0.451,131.5
452.1,4,2,30.94,0.5,4.34,2,92,5,566.5,-0.474,47.03
1828.8,3,1,5.23,2.27,6.41,1,17,9,327.2,-0.366,128.08
1534.8,3,1,38.79,10.37,7.35,3,43,9,392.7,0.0,85.37
1380.4,1,2,18.15,38.44,7.2,0,41,10,345.7,1.151,49.31
1536.7,4,3,9.44,0.84,4.37,1,42,19,162.8,-1.133,104.82
705.0,5,3,2.94,4.11,2.5,0,50,1,689.2,0.759,63.66
1412.1,3,1,6.79,12.88,4.87,1,84,7,450.8,0.792,97.38
1642.8,1,1,20.79,1.83,2.28,1,40,4,449.2,0.786,93.86
2091.2,5,3,13.48,6.48,9.01,0,39,1,724.4,-0.807,146.21
1292.7,4,4,33.16,10.57,4.11,3,23,15,428.6,-1.693,82.2
1176.6,3,2,17.24,7.66,2.39,3,96,8,373.9,0.56,73.42
1299.3,5,1,9.95,1.67,1.23,2,52,12,466.3,0.188,87.65
1866.2,5,1,24.69,3.51,6.81,1,47,18,330.1,1.004,109.05
1631.5,5,3,28.27,12.25,6.73,2,63,15,551.7,-0.701,90.54
1288.1,3,2,6.68,6.46,4.07,2,97,17,444.0,0.76,101.97
1705.3,3,3,6.7,0.5,1.65,0,69,14,423.9,1.054,106.89
1538.8,2,2,1.47,11.45,4.69,0,43,14,410.9,-0.095,106.23
1887.5,4,2,29.46,0.5,3.8,0,48,18,484.1,0.417,105.83
1219.2,1,2,26.55,10.95,7.09,1,34,18,512.5,0.382,62.7
1368.9,5,1,18.99,1.81,6.45,0,40,16,422.0,-0.821,89.9
1343.2,2,4,33.77,25.37,4.28,0,75,1,446.2,0.531,46.31
914.6,1,3,32.23,3.67,2.96,1,61,11,487.8,1.622,60.99
1618.4,2,4,23.41,3.17,9.89,1,50,15,472.6,0.022,102.87
1604.4,3,3,34.73,1.29,5.09,3,67,12,504.7,-1.461,112.74
1502.0,5,2,8.23,2.92,7.19,0,62,8,398.5,-0.687,109.26
1406.2,1,1,4.48,16.74,2.26,0,58,6,650.7,-1.779,78.24
933.9,1,4,10.79,44.87,5.37,0,33,3,514.5,1.29,27.9
1331.7,1,1,2.28,3.67,1.25,3,75,13,424.4,0.764,84.11
1362.9,1,3,21.25,4.76,5.55,0,16,13,551.7,-0.501,72.3
1179.1,1,1,37.46,10.24,9.68,3,82,2,488.8,-1.418,64.72
1435.5,2,1,1.57,17.39,4.46,2,94,5,239.9,-0.833,77.39
1661.6,5,4,4.88,7.19,1.35,3,48,17,551.1,-0.638,101.48
2254.5,3,2,18.09,3.97,1.28,2,10,6,347.1,0.109,123.36
1569.8,3,1,37.36,4.26,4.49,0,82,2,640.2,0.076,73.92
1603.0,3,2,12.65,9.52,2.44,2,38,4,463.7,1.341,107.73
1470.2,3,3,20.29,0.5,1.21,3,19,11,617.0,-0.693,100.5
732.5,2,1,1.66,7.73,7.81,1,36,8,405.5,-1.508,86.12
1489.4,4,4,5.93,3.51,5.13,2,59,12,510.5,-1.157,109.78
1524.1,5,3,39.47,12.65,3.6,2,63,8,681.5,-0.023,78.3
2485.3,1,3,38.6,0.78,9.1,0,77,11,459.6,-0.729,111.38
1423.1,4,4,0.2,7.1,2.05,3,46,8,411.4,-0.292,104.33
1620.6,3,1,38.07,5.25,9.6,2,3,8,598.3,-0.454,96.0
1486.1,4,1,25.56,8.23,3.83,2,74,17,595.3,0.99,85.87
1032.5,5,3,34.72,0.54,9.0,2,65,16,417.7,-0.587,85.35
1957.1,1,1,18.19,6.94,6.43,2,91,14,202.2,-0.377,110.58
1800.8,1,2,20.62,6.59,8.44,1,8,11,408.5,0.717,85.48
1816.4,5,4,19.55,6.58,9.86,3,51,7,601.6,-0.565,134.15
1136.2,5,2,26.67,7.4,3.6,0,81,16,383.7,0.423,74.71
2061.1,3,1,5.59,9.03,9.65,0,73,13,498.4,0.331,144.88
939.3,1,3,1.2,13.08,4.51,1,6,15,401.4,0.142,72.04
1734.7,4,4,12.32,2.52,4.47,3,89,16,210.2,-1.134,120.97
2376.2,2,1,28.19,13.95,4.06,2,39,9,398.7,1.23,119.34
1103.8,2,1,8.07,5.52,5.87,1,60,3,601.0,2.221,62.86
1273.5,5,3,26.94,0.64,2.39,3,28,19,144.5,0.009,83.4
1539.9,3,3,38.8,0.5,5.98,2,97,5,537.8,-1.046,85.24
1298.6,2,2,3.76,3.25,5.88,1,54,10,322.1,0.029,98.26
879.7,1,4,26.9,12.29,7.86,3,37,17,591.3,0.99,42.4
1527.4,5,4,17.75,9.84,8.5,0,9,15,607.1,-0.615,119.93
1075.1,4,3,34.73,12.43,4.96,0,82,8,474.2,-0.129,56.43
1689.4,5,2,7.09,5.83,3.72,3,56,15,474.5,0.341,120.2
1132.2,4,4,27.71,4.64,3.33,0,59,14,379.0,1.203,75.0
2120.0,5,3,33.52,1.28,2.75,3,85,7,298.2,0.775,130.65
1186.7,5,1,37.78,3.18,1.52,2,2,12,754.7,0.817,49.47
1371.2,5,4,27.33,4.55,4.08,3,61,17,370.2,-0.426,94.53
1825.4,4,2,19.89,0.74,3.43,2,58,17,735.2,0.402,122.97
1007.7,4,2,24.71,1.99,9.7,1,60,10,371.1,-0.722,85.24
1591.0,5,2,34.76,7.29,6.02,3,40,19,578.8,0.846,87.6
