lamda,train_mse,val_mse
0.01,0.511332,0.63403
0.0120679,0.514242,0.641848
0.0145635,0.518408,0.652331
0.0175751,0.522619,0.663966
0.0212095,0.527335,0.677854
0.0255955,0.534203,0.696854
0.0308884,0.544204,0.723042
0.0372759,0.557715,0.757907
0.0449843,0.575559,0.803913
0.0542868,0.592146,0.843045
0.0655129,0.596118,0.845485
0.0790604,0.601903,0.849399
0.0954095,0.610327,0.855535
0.11514,0.622596,0.864996
0.13895,0.640464,0.879408
0.167683,0.661471,0.891034
0.202359,0.684775,0.896665
0.244205,0.707398,0.916487
0.294705,0.734613,0.948707
0.355648,0.774247,0.994484
0.429193,0.831969,1.05977
0.517947,0.916031,1.15318
0.625055,1.03846,1.2872
0.754312,1.21675,1.47996
0.910298,1.25853,1.52484
1.09854,1.25853,1.52484
1.32571,1.25853,1.52484
1.59986,1.25853,1.52484
1.9307,1.25853,1.52484
2.32995,1.25853,1.52484
2.81177,1.25853,1.52484
3.39322,1.25853,1.52484
4.09492,1.25853,1.52484
4.94171,1.25853,1.52484
5.96362,1.25853,1.52484
7.19686,1.25853,1.52484
8.68511,1.25853,1.52484
10.4811,1.25853,1.52484
12.6486,1.25853,1.52484
15.2642,1.25853,1.52484
18.4207,1.25853,1.52484
22.23,1.25853,1.52484
26.827,1.25853,1.52484
32.3746,1.25853,1.52484
39.0694,1.25853,1.52484
47.1487,1.25853,1.52484
56.8987,1.25853,1.52484
68.6649,1.25853,1.52484
82.8643,1.25853,1.52484
100,1.25853,1.52484
