lamda,train_mse,val_mse
0.01,0.504956,0.606418
0.0120679,0.504956,0.606418
0.0145635,0.504956,0.606419
0.0175751,0.504956,0.606419
0.0212095,0.504956,0.606419
0.0255955,0.504956,0.60642
0.0308884,0.504956,0.60642
0.0372759,0.504956,0.606421
0.0449843,0.504956,0.606421
0.0542868,0.504956,0.606422
0.0655129,0.504956,0.606423
0.0790604,0.504956,0.606425
0.0954095,0.504956,0.606426
0.11514,0.504956,0.606428
0.13895,0.504956,0.60643
0.167683,0.504956,0.606433
0.202359,0.504956,0.606436
0.244205,0.504956,0.60644
0.294705,0.504956,0.606445
0.355648,0.504956,0.60645
0.429193,0.504956,0.606457
0.517947,0.504956,0.606465
0.625055,0.504956,0.606475
0.754312,0.504956,0.606488
0.910298,0.504956,0.606502
1.09854,0.504956,0.60652
1.32571,0.504956,0.606541
1.59986,0.504957,0.606567
1.9307,0.504957,0.606597
2.32995,0.504957,0.606635
2.81177,0.504957,0.60668
3.39322,0.504957,0.606734
4.09492,0.504958,0.6068
4.94171,0.504959,0.60688
5.96362,0.50496,0.606976
7.19686,0.504961,0.607092
8.68511,0.504964,0.607233
10.4811,0.504967,0.607403
12.6486,0.504972,0.607609
15.2642,0.504979,0.607858
18.4207,0.504989,0.608161
22.23,0.505003,0.608528
26.827,0.505024,0.608973
32.3746,0.505054,0.609514
39.0694,0.505096,0.610172
47.1487,0.505157,0.610973
56.8987,0.505243,0.611948
68.6649,0.505366,0.613136
82.8643,0.505537,0.614586
100,0.505777,0.616353
