lamda,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6,beta_7,beta_8
0.01,0.763609,0.0830232,-0.0987843,0.14357,-0.00425283,-0.0340334,-0.716716,-0.581677
0.0120679,0.750662,0.0851437,-0.0627412,0.107636,-0.00136427,-0.0325725,-0.695607,-0.558088
0.0145635,0.734964,0.0869282,-0.01944,0.0642861,0,-0.0306603,-0.670853,-0.53013
0.0175751,0.728011,0.0887687,0,0.040281,0,-0.0283633,-0.63046,-0.488469
0.0212095,0.728276,0.0911964,0,0.0316355,0,-0.025682,-0.573759,-0.43222
0.0255955,0.728596,0.0941263,0,0.021202,0,-0.0224462,-0.505332,-0.364338
0.0308884,0.728982,0.0976619,0,0.00861108,0,-0.0185412,-0.422756,-0.282419
0.0372759,0.729507,0.102047,0,0,0,-0.0137163,-0.327277,-0.187442
0.0449843,0.730232,0.107527,0,0,0,-0.00771594,-0.218641,-0.0789524
0.0542868,0.726882,0.107492,0,0,0,0,-0.136531,0
0.0655129,0.715074,0.0953873,0,0,0,0,-0.127289,0
0.0790604,0.700824,0.0807792,0,0,0,0,-0.116135,0
0.0954095,0.683628,0.0631502,0,0,0,0,-0.102674,0
0.11514,0.662875,0.0418756,0,0,0,0,-0.08643,0
0.13895,0.63783,0.0162016,0,0,0,0,-0.0668268,0
0.167683,0.609578,0,0,0,0,0,-0.042008,0
0.202359,0.57809,0,0,0,0,0,-0.0105203,0
0.244205,0.537309,0,0,0,0,0,0,0
0.294705,0.486809,0,0,0,0,0,0,0
0.355648,0.425866,0,0,0,0,0,0,0
0.429193,0.352321,0,0,0,0,0,0,0
0.517947,0.263567,0,0,0,0,0,0,0
0.625055,0.156459,0,0,0,0,0,0,0
0.754312,0.0272024,0,0,0,0,0,0,0
0.910298,0,0,0,0,0,0,0,0
1.09854,0,0,0,0,0,0,0,0
1.32571,0,0,0,0,0,0,0,0
1.59986,0,0,0,0,0,0,0,0
1.9307,0,0,0,0,0,0,0,0
2.32995,0,0,0,0,0,0,0,0
2.81177,0,0,0,0,0,0,0,0
3.39322,0,0,0,0,0,0,0,0
4.09492,0,0,0,0,0,0,0,0
4.94171,0,0,0,0,0,0,0,0
5.96362,0,0,0,0,0,0,0,0
7.19686,0,0,0,0,0,0,0,0
8.68511,0,0,0,0,0,0,0,0
10.4811,0,0,0,0,0,0,0,0
12.6486,0,0,0,0,0,0,0,0
15.2642,0,0,0,0,0,0,0,0
18.4207,0,0,0,0,0,0,0,0
22.23,0,0,0,0,0,0,0,0
26.827,0,0,0,0,0,0,0,0
32.3746,0,0,0,0,0,0,0,0
39.0694,0,0,0,0,0,0,0,0
47.1487,0,0,0,0,0,0,0,0
56.8987,0,0,0,0,0,0,0,0
68.6649,0,0,0,0,0,0,0,0
82.8643,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0
